"","GD.AT.Open","GD.AT.High","GD.AT.Low","GD.AT.Close","GD.AT.Volume","GD.AT.Adjusted"
"2021-11-09",920.659973144531,924.299987792969,919.190002441406,920.52001953125,16793800,920.52001953125
"2021-11-10",920.919982910156,920.919982910156,913.109985351562,918.059997558594,15765500,918.059997558594
"2021-11-11",916.590026855469,918.210021972656,911.900024414062,917.799987792969,19800500,917.799987792969
"2021-11-12",918.690002441406,922.52001953125,913.940002441406,913.940002441406,13598500,913.940002441406
"2021-11-15",914.130004882812,914.47998046875,909.880004882812,910.630004882812,15201100,910.630004882812
"2021-11-16",911.570007324219,919.799987792969,909.789978027344,909.989990234375,48685300,909.989990234375
"2021-11-17",910.739990234375,918.890014648438,910.489990234375,917.869995117188,31073400,917.869995117188
"2021-11-18",920.299987792969,927.669982910156,920.299987792969,923.070007324219,23435600,923.070007324219
"2021-11-19",923.299987792969,926.280029296875,910.469970703125,915.02001953125,26563300,915.02001953125
"2021-11-22",913.25,923.27001953125,909.070007324219,911.429992675781,19966800,911.429992675781
"2021-11-23",905.849975585938,905.849975585938,894.260009765625,894.940002441406,27798000,894.940002441406
"2021-11-24",892.400024414062,897.080017089844,888.049987792969,889.580017089844,18134200,889.580017089844
"2021-11-25",892.710021972656,899.169982910156,891.580017089844,898.969970703125,9645400,898.969970703125
"2021-11-26",892.510009765625,892.510009765625,857.919982910156,858.929992675781,55997800,858.929992675781
"2021-11-29",864.049987792969,875.47998046875,863.97998046875,871.340026855469,27238100,871.340026855469
"2021-11-30",865.22998046875,867.820007324219,857.869995117188,867.710021972656,51318200,867.710021972656
"2021-12-01",869.47998046875,878.359985351562,869.47998046875,877.239990234375,24359300,877.239990234375
"2021-12-02",875.059997558594,879.840026855469,869.849975585938,876.890014648438,13150800,876.890014648438
"2021-12-03",878.75,886.489990234375,878.75,879.22998046875,24165000,879.22998046875
"2021-12-06",878.830017089844,883.080017089844,874.460021972656,878.340026855469,18638800,878.340026855469
"2021-12-07",885.890014648438,893.219970703125,885.880004882812,891.840026855469,20519000,891.840026855469
"2021-12-08",891.940002441406,896.530029296875,890.809997558594,892.919982910156,15207500,892.919982910156
"2021-12-09",894.419982910156,898.289978027344,893.590026855469,898.289978027344,14908000,898.289978027344
"2021-12-10",896.049987792969,900.320007324219,893.900024414062,898.630004882812,10267300,898.630004882812
"2021-12-13",900.349975585938,904.320007324219,887.140014648438,887.960021972656,12576500,887.960021972656
"2021-12-14",888.440002441406,889.609985351562,879.679992675781,885.400024414062,17755700,885.400024414062
"2021-12-15",883.890014648438,889.109985351562,880.169982910156,883.359985351562,12894800,883.359985351562
"2021-12-16",888.349975585938,894.900024414062,887.809997558594,892.830017089844,17550600,892.830017089844
"2021-12-17",892.359985351562,892.419982910156,883.570007324219,887.5,26445100,887.5
"2021-12-20",877.400024414062,877.400024414062,865.489990234375,876.929992675781,16434900,876.929992675781
"2021-12-21",880.22998046875,884.780029296875,879.260009765625,881.190002441406,13947300,881.190002441406
"2021-12-22",880.590026855469,885.150024414062,880.590026855469,884.030029296875,12212700,884.030029296875
"2021-12-23",883.440002441406,890.880004882812,883.440002441406,890.72998046875,11181700,890.72998046875
"2021-12-27",888.530029296875,889.539978027344,884.849975585938,885.909973144531,35897900,885.909973144531
"2021-12-28",886.22998046875,892.090026855469,886.179992675781,889.289978027344,13601100,889.289978027344
